Entry,Identity,M+.,[M+H]+,CCS (Å2),Sourceb,Retention time (min)
39,"4-(2,4-Dimethylpentan-3-yl)phenol",192.1509,193.1587,148.38,Predicted,13.34
40,4-(4-Methylhexan-2-yl)phenol,192.1509,193.1587,144.30,Predicted,13.35
41,4-(Heptan-3-yl)phenol,192.1509,193.1587,149.80,Predicted,13.43
42,4-(Heptan-2-yl)phenol,192.1509,193.1587,147.09,Predicted,13.48
43,"Phenol, 4-(1-ethyl-1,2-dimethylpropyl)-",192.1509,193.1587,148.45,Predicted,13.55
44,4-(3-Ethylpentan-3-yl)phenol,192.1509,193.1587,151.27,Predicted,13.55
45,4-(3-Methylhexan-3-yl)phenol,192.1509,193.1587,147.88,Predicted,13.64
46,"4-(3,3-Dimethylpentan-2-yl)phenol",192.1509,193.1587,147.33,Predicted,13.65
47,4-(3-Methylhexan-2-yl)phenol,192.1509,193.1587,146.02,Predicted,13.66
48,4-(3-Ethylpentyl)phenol,192.1509,193.1587,150.29,Predicted,13.98
49,4-(5-Methylhexyl)phenol,192.1509,193.1587,161.79,Predicted,14.07
50,4-Heptylphenol,192.1509,193.1587,149.18,Predicted,14.47
51,Dimethyl phthalate,194.0574,195.0652,135.45,Predicted,9.01
52,Caffeine,194.0799,195.0877,137.24,Measured,16.3
53,Isobutyl 4-hydroxybenzoate,194.0938,195.1016,146.00,Predicted,12.91
54,Butylparaben,194.0938,195.1016,148.06,Measured,13.53
55,Dichloronaphthalene 4,195.9842,196.9920,136.97,Predicted,13.41
56,Dichloronaphthalene 3,195.9842,196.9920,135.84,Predicted,13.41
57,Dichloronaphthalene 6,195.9842,196.9920,130.84,Predicted,13.64
58,Dichloronaphthalene 7,195.9842,196.9920,131.73,Predicted,13.77
59,Dichloronaphthalene 8,195.9842,196.9920,131.65,Predicted,13.89
60,Dichloronaphthalene 10,195.9842,196.9920,136.29,Predicted,13.93
61,Dichloronaphthalene 9,195.9842,196.9920,131.14,Predicted,13.94
